
Period 1:
============================================================================================================================================
Demand ID    | Src -> Dst                              | Required (Gbps)  | Allocated (Gbps)  | Deficit (Gbps)  | Status            
40           | Bremen <-> Koeln                        | 18.0             | 40.0              | 0.0             | OK                
41           | Bremen <-> Frankfurt                    | 132.0            | 140.0             | 0.0             | OK                
42           | Bremen <-> Nuernberg                    | 68.2             | 100.0             | 0.0             | OK                
43           | Bremen <-> Mannheim                     | 15.0             | 40.0              | 0.0             | OK                
44           | Bremen <-> Karlsruhe                    | 7.5              | 10.0              | 0.0             | OK                
45           | Bremen <-> Stuttgart                    | 58.5             | 100.0             | 0.0             | OK                
46           | Bremen <-> Ulm                          | 7.5              | 10.0              | 0.0             | OK                
47           | Bremen <-> Muenchen                     | 71.2             | 100.0             | 0.0             | OK                
51           | Berlin <-> Hannover                     | 54.0             | 100.0             | 0.0             | OK                
52           | Berlin <-> Essen                        | 22.5             | 40.0              | 0.0             | OK                
53           | Berlin <-> Dortmund                     | 78.8             | 100.0             | 0.0             | OK                
54           | Berlin <-> Duesseldorf                  | 123.8            | 140.0             | 0.0             | OK                
55           | Berlin <-> Leipzig                      | 94.5             | 100.0             | 0.0             | OK                
56           | Berlin <-> Koeln                        | 54.0             | 100.0             | 0.0             | OK                
57           | Berlin <-> Frankfurt                    | 396.0            | 400.0             | 0.0             | OK                
58           | Berlin <-> Nuernberg                    | 204.8            | 210.0             | 0.0             | OK                
59           | Berlin <-> Mannheim                     | 45.0             | 100.0             | 0.0             | OK                
60           | Berlin <-> Karlsruhe                    | 22.5             | 40.0              | 0.0             | OK                
61           | Berlin <-> Stuttgart                    | 175.5            | 200.0             | 0.0             | OK                
62           | Berlin <-> Ulm                          | 22.5             | 40.0              | 0.0             | OK                
63           | Berlin <-> Muenchen                     | 213.8            | 240.0             | 0.0             | OK                
68           | Hannover <-> Essen                      | 12.0             | 40.0              | 0.0             | OK                
69           | Hannover <-> Dortmund                   | 33.8             | 40.0              | 0.0             | OK                
70           | Hannover <-> Duesseldorf                | 66.0             | 100.0             | 0.0             | OK                
71           | Hannover <-> Leipzig                    | 47.2             | 100.0             | 0.0             | OK                
72           | Hannover <-> Koeln                      | 27.0             | 40.0              | 0.0             | OK                
73           | Hannover <-> Frankfurt                  | 165.0            | 200.0             | 0.0             | OK                
74           | Hannover <-> Nuernberg                  | 97.5             | 100.0             | 0.0             | OK                
75           | Hannover <-> Mannheim                   | 24.0             | 40.0              | 0.0             | OK                
76           | Hannover <-> Karlsruhe                  | 12.0             | 40.0              | 0.0             | OK                
77           | Hannover <-> Stuttgart                  | 87.8             | 100.0             | 0.0             | OK                
78           | Hannover <-> Ulm                        | 12.0             | 40.0              | 0.0             | OK                
79           | Hannover <-> Muenchen                   | 114.0            | 140.0             | 0.0             | OK                
85           | Essen <-> Dortmund                      | 12.5             | 40.0              | 0.0             | OK                
86           | Essen <-> Duesseldorf                   | 66.0             | 100.0             | 0.0             | OK                
87           | Essen <-> Leipzig                       | 21.0             | 40.0              | 0.0             | OK                
88           | Essen <-> Koeln                         | 10.0             | 10.0              | 0.0             | OK                
89           | Essen <-> Frankfurt                     | 77.0             | 100.0             | 0.0             | OK                
90           | Essen <-> Nuernberg                     | 39.0             | 40.0              | 0.0             | OK                
91           | Essen <-> Mannheim                      | 8.0              | 10.0              | 0.0             | OK                
92           | Essen <-> Karlsruhe                     | 4.0              | 10.0              | 0.0             | OK                
93           | Essen <-> Stuttgart                     | 32.5             | 40.0              | 0.0             | OK                
94           | Essen <-> Ulm                           | 4.0              | 10.0              | 0.0             | OK                
95           | Essen <-> Muenchen                      | 38.0             | 40.0              | 0.0             | OK                
102          | Dortmund <-> Duesseldorf                | 82.5             | 100.0             | 0.0             | OK                
103          | Dortmund <-> Leipzig                    | 70.0             | 100.0             | 0.0             | OK                
104          | Dortmund <-> Koeln                      | 30.0             | 40.0              | 0.0             | OK                
105          | Dortmund <-> Frankfurt                  | 247.5            | 300.0             | 0.0             | OK                
106          | Dortmund <-> Nuernberg                  | 130.0            | 140.0             | 0.0             | OK                
107          | Dortmund <-> Mannheim                   | 30.0             | 40.0              | 0.0             | OK                
108          | Dortmund <-> Karlsruhe                  | 15.0             | 40.0              | 0.0             | OK                
109          | Dortmund <-> Stuttgart                  | 113.8            | 140.0             | 0.0             | OK                
110          | Dortmund <-> Ulm                        | 15.0             | 40.0              | 0.0             | OK                
111          | Dortmund <-> Muenchen                   | 142.5            | 200.0             | 0.0             | OK                
119          | Duesseldorf <-> Leipzig                 | 115.5            | 140.0             | 0.0             | OK                
120          | Duesseldorf <-> Koeln                   | 44.0             | 100.0             | 0.0             | OK                
121          | Duesseldorf <-> Frankfurt               | 423.5            | 440.0             | 0.0             | OK                
122          | Duesseldorf <-> Nuernberg               | 214.5            | 240.0             | 0.0             | OK                
123          | Duesseldorf <-> Mannheim                | 44.0             | 100.0             | 0.0             | OK                
124          | Duesseldorf <-> Karlsruhe               | 22.0             | 40.0              | 0.0             | OK                
125          | Duesseldorf <-> Stuttgart               | 178.8            | 200.0             | 0.0             | OK                
126          | Duesseldorf <-> Ulm                     | 22.0             | 40.0              | 0.0             | OK                
127          | Duesseldorf <-> Muenchen                | 209.0            | 210.0             | 0.0             | OK                
136          | Leipzig <-> Koeln                       | 49.0             | 100.0             | 0.0             | OK                
137          | Leipzig <-> Frankfurt                   | 308.0            | 400.0             | 0.0             | OK                
138          | Leipzig <-> Nuernberg                   | 159.2            | 200.0             | 0.0             | OK                
139          | Leipzig <-> Mannheim                    | 42.0             | 100.0             | 0.0             | OK                
140          | Leipzig <-> Karlsruhe                   | 21.0             | 40.0              | 0.0             | OK                
141          | Leipzig <-> Stuttgart                   | 159.2            | 200.0             | 0.0             | OK                
142          | Leipzig <-> Ulm                         | 21.0             | 40.0              | 0.0             | OK                
143          | Leipzig <-> Muenchen                    | 199.5            | 200.0             | 0.0             | OK                
153          | Koeln <-> Frankfurt                     | 154.0            | 200.0             | 0.0             | OK                
154          | Koeln <-> Nuernberg                     | 91.0             | 100.0             | 0.0             | OK                
155          | Koeln <-> Mannheim                      | 20.0             | 40.0              | 0.0             | OK                
156          | Koeln <-> Karlsruhe                     | 10.0             | 10.0              | 0.0             | OK                
157          | Koeln <-> Stuttgart                     | 78.0             | 100.0             | 0.0             | OK                
158          | Koeln <-> Ulm                           | 10.0             | 10.0              | 0.0             | OK                
159          | Koeln <-> Muenchen                      | 95.0             | 100.0             | 0.0             | OK                
170          | Frankfurt <-> Nuernberg                 | 572.0            | 600.0             | 0.0             | OK                
171          | Frankfurt <-> Mannheim                  | 132.0            | 140.0             | 0.0             | OK                
172          | Frankfurt <-> Karlsruhe                 | 77.0             | 100.0             | 0.0             | OK                
173          | Frankfurt <-> Stuttgart                 | 572.0            | 600.0             | 0.0             | OK                
174          | Frankfurt <-> Ulm                       | 77.0             | 100.0             | 0.0             | OK                
175          | Frankfurt <-> Muenchen                  | 731.5            | 800.0             | 0.0             | OK                
187          | Nuernberg <-> Mannheim                  | 78.0             | 100.0             | 0.0             | OK                
188          | Nuernberg <-> Karlsruhe                 | 39.0             | 40.0              | 0.0             | OK                
189          | Nuernberg <-> Stuttgart                 | 253.5            | 300.0             | 0.0             | OK                
190          | Nuernberg <-> Ulm                       | 39.0             | 40.0              | 0.0             | OK                
191          | Nuernberg <-> Muenchen                  | 308.8            | 400.0             | 0.0             | OK                
204          | Mannheim <-> Karlsruhe                  | 24.0             | 40.0              | 0.0             | OK                
205          | Mannheim <-> Stuttgart                  | 65.0             | 100.0             | 0.0             | OK                
206          | Mannheim <-> Ulm                        | 8.0              | 10.0              | 0.0             | OK                
207          | Mannheim <-> Muenchen                   | 76.0             | 100.0             | 0.0             | OK                
221          | Karlsruhe <-> Stuttgart                 | 26.0             | 40.0              | 0.0             | OK                
222          | Karlsruhe <-> Ulm                       | 4.0              | 10.0              | 0.0             | OK                
223          | Karlsruhe <-> Muenchen                  | 38.0             | 40.0              | 0.0             | OK                
238          | Stuttgart <-> Ulm                       | 26.0             | 40.0              | 0.0             | OK                
239          | Stuttgart <-> Muenchen                  | 308.8            | 400.0             | 0.0             | OK                
255          | Ulm <-> Muenchen                        | 114.0            | 140.0             | 0.0             | OK                
============================================================================================================================================
PERIOD SUMMARY:
Total Connections: 928
Aggregate Required Capacity: 25.22 Tbps
Aggregate Allocated Capacity: 31.12 Tbps
Underprovisioned Demands: 0/272 (0.0%)
Underprovisioning Ratio: 0.000 (0.0% of capacity deficit)
Overprovisioning Ratio: 0.234 (23.4% excess capacity)
Resource Utilization: 9.5%
============================================================================================================================================


Period 2:
============================================================================================================================================
Demand ID    | Src -> Dst                              | Required (Gbps)  | Allocated (Gbps)  | Deficit (Gbps)  | Status            
-------------+-----------------------------------------+------------------+-------------------+-----------------+-------------------
0            | Norden <-> Hamburg                      | 0.0              | 0.0               | 0.0             | OK                
1            | Norden <-> Bremen                       | 17.8             | 40.0              | 0.0             | OK                
2            | Norden <-> Berlin                       | 0.0              | 0.0               | 0.0             | OK                
3            | Norden <-> Hannover                     | 0.0              | 0.0               | 0.0             | OK                
4            | Norden <-> Essen                        | 0.0              | 0.0               | 0.0             | OK                
5            | Norden <-> Dortmund                     | 35.7             | 40.0              | 0.0             | OK                
6            | Norden <-> Duesseldorf                  | 0.0              | 0.0               | 0.0             | OK                
7            | Norden <-> Leipzig                      | 0.0              | 0.0               | 0.0             | OK                
8            | Norden <-> Koeln                        | 0.0              | 0.0               | 0.0             | OK                
9            | Norden <-> Frankfurt                    | 183.3            | 200.0             | 0.0             | OK                
10           | Norden <-> Nuernberg                    | 0.0              | 0.0               | 0.0             | OK                
11           | Norden <-> Mannheim                     | 0.0              | 0.0               | 0.0             | OK                
12           | Norden <-> Karlsruhe                    | 0.0              | 0.0               | 0.0             | OK                
13           | Norden <-> Stuttgart                    | 0.0              | 0.0               | 0.0             | OK                
14           | Norden <-> Ulm                          | 0.0              | 0.0               | 0.0             | OK                
15           | Norden <-> Muenchen                     | 0.0              | 0.0               | 0.0             | OK                
17           | Hamburg <-> Bremen                      | 53.5             | 100.0             | 0.0             | OK                
18           | Hamburg <-> Berlin                      | 160.6            | 180.0             | 0.0             | OK                
19           | Hamburg <-> Hannover                    | 85.7             | 100.0             | 0.0             | OK                
20           | Hamburg <-> Essen                       | 35.7             | 40.0              | 0.0             | OK                
21           | Hamburg <-> Dortmund                    | 124.9            | 150.0             | 0.0             | OK                
22           | Hamburg <-> Duesseldorf                 | 196.3            | 200.0             | 0.0             | OK                
23           | Hamburg <-> Leipzig                     | 174.9            | 200.0             | 0.0             | OK                
24           | Hamburg <-> Koeln                       | 85.7             | 100.0             | 0.0             | OK                
25           | Hamburg <-> Frankfurt                   | 628.3            | 640.0             | 0.0             | OK                
26           | Hamburg <-> Nuernberg                   | 324.9            | 340.0             | 0.0             | OK                
27           | Hamburg <-> Mannheim                    | 71.4             | 100.0             | 0.0             | OK                
28           | Hamburg <-> Karlsruhe                   | 35.7             | 40.0              | 0.0             | OK                
29           | Hamburg <-> Stuttgart                   | 278.4            | 280.0             | 0.0             | OK                
30           | Hamburg <-> Ulm                         | 35.7             | 40.0              | 0.0             | OK                
31           | Hamburg <-> Muenchen                    | 339.1            | 340.0             | 0.0             | OK                
34           | Bremen <-> Berlin                       | 48.2             | 100.0             | 0.0             | OK                
35           | Bremen <-> Hannover                     | 21.4             | 40.0              | 0.0             | OK                
36           | Bremen <-> Essen                        | 8.9              | 10.0              | 0.0             | OK                
37           | Bremen <-> Dortmund                     | 31.2             | 40.0              | 0.0             | OK                
38           | Bremen <-> Duesseldorf                  | 49.1             | 100.0             | 0.0             | OK                
39           | Bremen <-> Leipzig                      | 43.7             | 50.0              | 0.0             | OK                
40           | Bremen <-> Koeln                        | 21.4             | 40.0              | 0.0             | OK                
41           | Bremen <-> Frankfurt                    | 157.1            | 180.0             | 0.0             | OK                
42           | Bremen <-> Nuernberg                    | 81.2             | 100.0             | 0.0             | OK                
43           | Bremen <-> Mannheim                     | 17.8             | 40.0              | 0.0             | OK                
44           | Bremen <-> Karlsruhe                    | 8.9              | 10.0              | 0.0             | OK                
45           | Bremen <-> Stuttgart                    | 69.6             | 100.0             | 0.0             | OK                
46           | Bremen <-> Ulm                          | 8.9              | 10.0              | 0.0             | OK                
47           | Bremen <-> Muenchen                     | 84.8             | 100.0             | 0.0             | OK                
51           | Berlin <-> Hannover                     | 64.3             | 100.0             | 0.0             | OK                
52           | Berlin <-> Essen                        | 26.8             | 40.0              | 0.0             | OK                
53           | Berlin <-> Dortmund                     | 93.7             | 100.0             | 0.0             | OK                
54           | Berlin <-> Duesseldorf                  | 147.3            | 150.0             | 0.0             | OK                
55           | Berlin <-> Leipzig                      | 112.5            | 140.0             | 0.0             | OK                
56           | Berlin <-> Koeln                        | 64.3             | 100.0             | 0.0             | OK                
57           | Berlin <-> Frankfurt                    | 471.2            | 500.0             | 0.0             | OK                
58           | Berlin <-> Nuernberg                    | 243.6            | 250.0             | 0.0             | OK                
59           | Berlin <-> Mannheim                     | 53.5             | 100.0             | 0.0             | OK                
60           | Berlin <-> Karlsruhe                    | 26.8             | 40.0              | 0.0             | OK                
61           | Berlin <-> Stuttgart                    | 208.8            | 210.0             | 0.0             | OK                
62           | Berlin <-> Ulm                          | 26.8             | 40.0              | 0.0             | OK                
63           | Berlin <-> Muenchen                     | 254.4            | 280.0             | 0.0             | OK                
68           | Hannover <-> Essen                      | 14.3             | 40.0              | 0.0             | OK                
69           | Hannover <-> Dortmund                   | 40.2             | 50.0              | 0.0             | OK                
70           | Hannover <-> Duesseldorf                | 78.5             | 100.0             | 0.0             | OK                
71           | Hannover <-> Leipzig                    | 56.2             | 100.0             | 0.0             | OK                
72           | Hannover <-> Koeln                      | 32.1             | 40.0              | 0.0             | OK                
73           | Hannover <-> Frankfurt                  | 196.3            | 200.0             | 0.0             | OK                
74           | Hannover <-> Nuernberg                  | 116.0            | 140.0             | 0.0             | OK                
75           | Hannover <-> Mannheim                   | 28.6             | 40.0              | 0.0             | OK                
76           | Hannover <-> Karlsruhe                  | 14.3             | 40.0              | 0.0             | OK                
77           | Hannover <-> Stuttgart                  | 104.4            | 110.0             | 0.0             | OK                
78           | Hannover <-> Ulm                        | 14.3             | 40.0              | 0.0             | OK                
79           | Hannover <-> Muenchen                   | 135.7            | 140.0             | 0.0             | OK                
85           | Essen <-> Dortmund                      | 14.9             | 40.0              | 0.0             | OK                
86           | Essen <-> Duesseldorf                   | 78.5             | 100.0             | 0.0             | OK                
87           | Essen <-> Leipzig                       | 25.0             | 40.0              | 0.0             | OK                
88           | Essen <-> Koeln                         | 11.9             | 20.0              | 0.0             | OK                
89           | Essen <-> Frankfurt                     | 91.6             | 100.0             | 0.0             | OK                
90           | Essen <-> Nuernberg                     | 46.4             | 50.0              | 0.0             | OK                
91           | Essen <-> Mannheim                      | 9.5              | 10.0              | 0.0             | OK                
92           | Essen <-> Karlsruhe                     | 4.8              | 10.0              | 0.0             | OK                
93           | Essen <-> Stuttgart                     | 38.7             | 40.0              | 0.0             | OK                
94           | Essen <-> Ulm                           | 4.8              | 10.0              | 0.0             | OK                
95           | Essen <-> Muenchen                      | 45.2             | 50.0              | 0.0             | OK                
102          | Dortmund <-> Duesseldorf                | 98.2             | 100.0             | 0.0             | OK                
103          | Dortmund <-> Leipzig                    | 83.3             | 100.0             | 0.0             | OK                
104          | Dortmund <-> Koeln                      | 35.7             | 40.0              | 0.0             | OK                
105          | Dortmund <-> Frankfurt                  | 294.5            | 300.0             | 0.0             | OK                
106          | Dortmund <-> Nuernberg                  | 154.7            | 180.0             | 0.0             | OK                
107          | Dortmund <-> Mannheim                   | 35.7             | 40.0              | 0.0             | OK                
108          | Dortmund <-> Karlsruhe                  | 17.8             | 40.0              | 0.0             | OK                
109          | Dortmund <-> Stuttgart                  | 135.4            | 140.0             | 0.0             | OK                
110          | Dortmund <-> Ulm                        | 17.8             | 40.0              | 0.0             | OK                
111          | Dortmund <-> Muenchen                   | 169.6            | 200.0             | 0.0             | OK                
119          | Duesseldorf <-> Leipzig                 | 137.4            | 140.0             | 0.0             | OK                
120          | Duesseldorf <-> Koeln                   | 52.4             | 100.0             | 0.0             | OK                
121          | Duesseldorf <-> Frankfurt               | 503.9            | 540.0             | 0.0             | OK                
122          | Duesseldorf <-> Nuernberg               | 255.2            | 280.0             | 0.0             | OK                
123          | Duesseldorf <-> Mannheim                | 52.4             | 100.0             | 0.0             | OK                
124          | Duesseldorf <-> Karlsruhe               | 26.2             | 40.0              | 0.0             | OK                
125          | Duesseldorf <-> Stuttgart               | 212.7            | 240.0             | 0.0             | OK                
126          | Duesseldorf <-> Ulm                     | 26.2             | 40.0              | 0.0             | OK                
127          | Duesseldorf <-> Muenchen                | 248.7            | 250.0             | 0.0             | OK                
136          | Leipzig <-> Koeln                       | 58.3             | 100.0             | 0.0             | OK                
137          | Leipzig <-> Frankfurt                   | 366.5            | 400.0             | 0.0             | OK                
138          | Leipzig <-> Nuernberg                   | 189.5            | 200.0             | 0.0             | OK                
139          | Leipzig <-> Mannheim                    | 50.0             | 100.0             | 0.0             | OK                
140          | Leipzig <-> Karlsruhe                   | 25.0             | 40.0              | 0.0             | OK                
141          | Leipzig <-> Stuttgart                   | 189.5            | 200.0             | 0.0             | OK                
142          | Leipzig <-> Ulm                         | 25.0             | 40.0              | 0.0             | OK                
143          | Leipzig <-> Muenchen                    | 237.4            | 240.0             | 0.0             | OK                
153          | Koeln <-> Frankfurt                     | 183.3            | 200.0             | 0.0             | OK                
154          | Koeln <-> Nuernberg                     | 108.3            | 110.0             | 0.0             | OK                
155          | Koeln <-> Mannheim                      | 23.8             | 40.0              | 0.0             | OK                
156          | Koeln <-> Karlsruhe                     | 11.9             | 20.0              | 0.0             | OK                
157          | Koeln <-> Stuttgart                     | 92.8             | 100.0             | 0.0             | OK                
158          | Koeln <-> Ulm                           | 11.9             | 20.0              | 0.0             | OK                
159          | Koeln <-> Muenchen                      | 113.0            | 140.0             | 0.0             | OK                
170          | Frankfurt <-> Nuernberg                 | 680.7            | 700.0             | 0.0             | OK                
171          | Frankfurt <-> Mannheim                  | 157.1            | 180.0             | 0.0             | OK                
172          | Frankfurt <-> Karlsruhe                 | 91.6             | 100.0             | 0.0             | OK                
173          | Frankfurt <-> Stuttgart                 | 680.7            | 700.0             | 0.0             | OK                
174          | Frankfurt <-> Ulm                       | 91.6             | 100.0             | 0.0             | OK                
175          | Frankfurt <-> Muenchen                  | 870.5            | 900.0             | 0.0             | OK                
187          | Nuernberg <-> Mannheim                  | 92.8             | 100.0             | 0.0             | OK                
188          | Nuernberg <-> Karlsruhe                 | 46.4             | 50.0              | 0.0             | OK                
189          | Nuernberg <-> Stuttgart                 | 301.7            | 310.0             | 0.0             | OK                
190          | Nuernberg <-> Ulm                       | 46.4             | 50.0              | 0.0             | OK                
191          | Nuernberg <-> Muenchen                  | 367.4            | 400.0             | 0.0             | OK                
204          | Mannheim <-> Karlsruhe                  | 28.6             | 40.0              | 0.0             | OK                
205          | Mannheim <-> Stuttgart                  | 77.3             | 100.0             | 0.0             | OK                
206          | Mannheim <-> Ulm                        | 9.5              | 10.0              | 0.0             | OK                
207          | Mannheim <-> Muenchen                   | 90.4             | 100.0             | 0.0             | OK                
221          | Karlsruhe <-> Stuttgart                 | 30.9             | 40.0              | 0.0             | OK                
222          | Karlsruhe <-> Ulm                       | 4.8              | 10.0              | 0.0             | OK                
223          | Karlsruhe <-> Muenchen                  | 45.2             | 50.0              | 0.0             | OK                
238          | Stuttgart <-> Ulm                       | 30.9             | 40.0              | 0.0             | OK                
239          | Stuttgart <-> Muenchen                  | 367.4            | 400.0             | 0.0             | OK                
255          | Ulm <-> Muenchen                        | 135.7            | 140.0             | 0.0             | OK                
============================================================================================================================================
PERIOD SUMMARY:
Total Connections: 1130
Aggregate Required Capacity: 30.02 Tbps
Aggregate Allocated Capacity: 33.98 Tbps
Underprovisioned Demands: 0/272 (0.0%)
Underprovisioning Ratio: 0.000 (0.0% of capacity deficit)
Overprovisioning Ratio: 0.132 (13.2% excess capacity)
Resource Utilization: 10.8%
============================================================================================================================================


Period 3:
============================================================================================================================================
Demand ID    | Src -> Dst                              | Required (Gbps)  | Allocated (Gbps)  | Deficit (Gbps)  | Status            
-------------+-----------------------------------------+------------------+-------------------+-----------------+-------------------
0            | Norden <-> Hamburg                      | 0.0              | 0.0               | 0.0             | OK                
1            | Norden <-> Bremen                       | 22.5             | 40.0              | 0.0             | OK                
2            | Norden <-> Berlin                       | 0.0              | 0.0               | 0.0             | OK                
3            | Norden <-> Hannover                     | 0.0              | 0.0               | 0.0             | OK                
4            | Norden <-> Essen                        | 0.0              | 0.0               | 0.0             | OK                
5            | Norden <-> Dortmund                     | 44.9             | 50.0              | 0.0             | OK                
6            | Norden <-> Duesseldorf                  | 0.0              | 0.0               | 0.0             | OK                
7            | Norden <-> Leipzig                      | 0.0              | 0.0               | 0.0             | OK                
8            | Norden <-> Koeln                        | 0.0              | 0.0               | 0.0             | OK                
9            | Norden <-> Frankfurt                    | 230.6            | 240.0             | 0.0             | OK                
10           | Norden <-> Nuernberg                    | 0.0              | 0.0               | 0.0             | OK                
11           | Norden <-> Mannheim                     | 0.0              | 0.0               | 0.0             | OK                
12           | Norden <-> Karlsruhe                    | 0.0              | 0.0               | 0.0             | OK                
13           | Norden <-> Stuttgart                    | 0.0              | 0.0               | 0.0             | OK                
14           | Norden <-> Ulm                          | 0.0              | 0.0               | 0.0             | OK                
15           | Norden <-> Muenchen                     | 0.0              | 0.0               | 0.0             | OK                
17           | Hamburg <-> Bremen                      | 67.4             | 100.0             | 0.0             | OK                
18           | Hamburg <-> Berlin                      | 202.2            | 220.0             | 0.0             | OK                
19           | Hamburg <-> Hannover                    | 107.8            | 110.0             | 0.0             | OK                
20           | Hamburg <-> Essen                       | 44.9             | 50.0              | 0.0             | OK                
21           | Hamburg <-> Dortmund                    | 157.2            | 160.0             | 0.0             | OK                
22           | Hamburg <-> Duesseldorf                 | 247.1            | 300.0             | 0.0             | OK                
23           | Hamburg <-> Leipzig                     | 220.1            | 240.0             | 0.0             | OK                
24           | Hamburg <-> Koeln                       | 107.8            | 110.0             | 0.0             | OK                
25           | Hamburg <-> Frankfurt                   | 790.7            | 840.0             | 0.0             | OK                
26           | Hamburg <-> Nuernberg                   | 408.8            | 440.0             | 0.0             | OK                
27           | Hamburg <-> Mannheim                    | 89.9             | 100.0             | 0.0             | OK                
28           | Hamburg <-> Karlsruhe                   | 44.9             | 50.0              | 0.0             | OK                
29           | Hamburg <-> Stuttgart                   | 350.4            | 380.0             | 0.0             | OK                
30           | Hamburg <-> Ulm                         | 44.9             | 50.0              | 0.0             | OK                
31           | Hamburg <-> Muenchen                    | 426.8            | 440.0             | 0.0             | OK                
34           | Bremen <-> Berlin                       | 60.7             | 100.0             | 0.0             | OK                
35           | Bremen <-> Hannover                     | 27.0             | 40.0              | 0.0             | OK                
36           | Bremen <-> Essen                        | 11.2             | 20.0              | 0.0             | OK                
37           | Bremen <-> Dortmund                     | 39.3             | 40.0              | 0.0             | OK                
38           | Bremen <-> Duesseldorf                  | 61.8             | 100.0             | 0.0             | OK                
39           | Bremen <-> Leipzig                      | 55.0             | 60.0              | 0.0             | OK                
40           | Bremen <-> Koeln                        | 27.0             | 40.0              | 0.0             | OK                
41           | Bremen <-> Frankfurt                    | 197.7            | 220.0             | 0.0             | OK                
42           | Bremen <-> Nuernberg                    | 102.2            | 110.0             | 0.0             | OK                
43           | Bremen <-> Mannheim                     | 22.5             | 40.0              | 0.0             | OK                
44           | Bremen <-> Karlsruhe                    | 11.2             | 20.0              | 0.0             | OK                
45           | Bremen <-> Stuttgart                    | 87.6             | 100.0             | 0.0             | OK                
46           | Bremen <-> Ulm                          | 11.2             | 20.0              | 0.0             | OK                
47           | Bremen <-> Muenchen                     | 106.7            | 110.0             | 0.0             | OK                
51           | Berlin <-> Hannover                     | 80.9             | 100.0             | 0.0             | OK                
52           | Berlin <-> Essen                        | 33.7             | 40.0              | 0.0             | OK                
53           | Berlin <-> Dortmund                     | 117.9            | 140.0             | 0.0             | OK                
54           | Berlin <-> Duesseldorf                  | 185.3            | 190.0             | 0.0             | OK                
55           | Berlin <-> Leipzig                      | 141.5            | 150.0             | 0.0             | OK                
